,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_coef0,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1989,0.0021611690521240235,6.343235513363074e-05,0.0008014678955078125,2.6425814546419964e-05,100.0,1e-09,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 1e-09, 'kernel': 'poly'}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,434,-0.25,-0.25,-0.25,-0.25555555555555554,-0.25555555555555554,-0.25222222222222224,0.002721655269759077
1990,0.002178382873535156,7.564528206034476e-05,0.0007985115051269531,4.726161095856442e-05,100.0,1e-08,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 1e-08, 'kernel': 'poly'}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,434,-0.25,-0.25,-0.25,-0.25555555555555554,-0.25555555555555554,-0.25222222222222224,0.002721655269759077
1991,0.0021556854248046876,5.40076972579737e-05,0.0007996082305908204,2.3751756168528272e-05,100.0,1e-07,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 1e-07, 'kernel': 'poly'}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,434,-0.25,-0.25,-0.25,-0.25555555555555554,-0.25555555555555554,-0.25222222222222224,0.002721655269759077
1992,0.0023488998413085938,9.761277083979048e-05,0.0008405685424804687,2.935574683686954e-05,100.0,1e-06,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 1e-06, 'kernel': 'poly'}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,434,-0.25,-0.25,-0.25,-0.25555555555555554,-0.25555555555555554,-0.25222222222222224,0.002721655269759077
1993,0.002634572982788086,0.00012647285623602276,0.0009084701538085938,5.2253520685027324e-05,100.0,1e-05,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 1e-05, 'kernel': 'poly'}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,434,-0.25,-0.25,-0.25,-0.25555555555555554,-0.25555555555555554,-0.25222222222222224,0.002721655269759077
1994,0.0026659011840820313,0.0001441967392676161,0.0008733749389648437,3.3665986617488226e-05,100.0,0.0001,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 0.0001, 'kernel': 'poly'}",-0.34782608695652173,-0.2608695652173913,-0.21739130434782608,-0.2857142857142857,-0.23809523809523808,-0.2699792960662526,0.045106074918910874,2459,-0.022727272727272728,-0.011363636363636364,-0.03409090909090909,-0.022222222222222223,-0.044444444444444446,-0.02696969696969697,0.011315160351953901
1995,0.0033294677734375,8.474717764350582e-05,0.0008661270141601563,3.394544752037053e-05,100.0,0.001,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 0.001, 'kernel': 'poly'}",-0.34782608695652173,-0.30434782608695654,-0.17391304347826086,-0.2857142857142857,-0.2857142857142857,-0.2795031055900621,0.057466004999852806,2815,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
1996,0.003365039825439453,0.0001417267206177637,0.0009252071380615234,2.4548825467123044e-05,100.0,0.01,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 0.01, 'kernel': 'poly'}",-0.34782608695652173,-0.30434782608695654,-0.17391304347826086,-0.2857142857142857,-0.2857142857142857,-0.2795031055900621,0.057466004999852806,2815,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
1997,0.003378486633300781,0.0001179415624221756,0.00088653564453125,8.219026745974162e-05,100.0,0.1,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 0.1, 'kernel': 'poly'}",-0.34782608695652173,-0.30434782608695654,-0.17391304347826086,-0.2857142857142857,-0.2857142857142857,-0.2795031055900621,0.057466004999852806,2815,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
1998,0.0034780979156494142,0.00017703875259859802,0.000887298583984375,5.1281746972943006e-05,100.0,1.0,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 1.0, 'kernel': 'poly'}",-0.391304347826087,-0.30434782608695654,-0.13043478260869565,-0.2857142857142857,-0.23809523809523808,-0.2699792960662526,0.08560118962764424,2459,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
1999,0.0034188747406005858,0.00010604020040979304,0.000914621353149414,3.6784950385684036e-05,100.0,10.0,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 10.0, 'kernel': 'poly'}",-0.43478260869565216,-0.2608695652173913,-0.17391304347826086,-0.2857142857142857,-0.14285714285714285,-0.25962732919254655,0.10231682127688944,2236,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2000,0.003466081619262695,9.822005171157913e-05,0.0009417533874511719,6.694919362206605e-05,100.0,100.0,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 100.0, 'kernel': 'poly'}",-0.43478260869565216,-0.2608695652173913,-0.17391304347826086,-0.23809523809523808,-0.14285714285714285,-0.250103519668737,0.10165947716593997,135,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2001,0.003370809555053711,8.565399738699388e-05,0.0009247779846191407,4.711706113364991e-05,100.0,1000.0,poly,5,5,"{'C': 100.0, 'coef0': 5, 'degree': 5, 'gamma': 1000.0, 'kernel': 'poly'}",-0.43478260869565216,-0.2608695652173913,-0.17391304347826086,-0.23809523809523808,-0.14285714285714285,-0.250103519668737,0.10165947716593997,135,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
