,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.11993088722229003,0.004192817224962656,0.10334081649780273,0.0004891425551205273,entropy,10,5,1,2,10,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",-0.30434782608695654,-0.34782608695652173,-0.2608695652173913,-0.2857142857142857,-0.23809523809523808,-0.2873706004140787,0.03761968001236897,7165,-0.022727272727272728,-0.011363636363636364,-0.0,-0.022222222222222223,-0.03333333333333333,-0.017929292929292927,0.011342854172630137
1,0.1685032844543457,0.011175651762276294,0.10354762077331543,0.0007948223274906868,entropy,10,5,1,2,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.2608695652173913,-0.2608695652173913,-0.21739130434782608,-0.2857142857142857,-0.23809523809523808,-0.2525879917184265,0.023166212390392325,6265,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2,0.4127936840057373,0.024902257834613833,0.10334043502807617,0.0004896489235846121,entropy,10,5,1,2,250,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}",-0.21739130434782608,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.24306418219461698,0.01638621858170549,4051,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
3,0.7086002826690674,0.04550202313294883,0.10434045791625976,0.0013554889425924142,entropy,10,5,1,2,500,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-0.21739130434782608,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.24306418219461698,0.01638621858170549,4051,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4,1.4525375366210938,0.025838391118704025,0.2054508686065674,0.0012420014043012571,entropy,10,5,1,2,1000,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",-0.2608695652173913,-0.30434782608695654,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.2604554865424431,0.02419438701116613,6674,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
5,0.11113648414611817,0.0007481243194262813,0.10453996658325196,0.0004895705378821453,entropy,10,5,1,5,10,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",-0.391304347826087,-0.34782608695652173,-0.21739130434782608,-0.2857142857142857,-0.23809523809523808,-0.2960662525879917,0.06543229242278505,7183,-0.011363636363636364,-0.011363636363636364,-0.0,-0.03333333333333333,-0.03333333333333333,-0.017878787878787876,0.013283308360184052
6,0.19788689613342286,0.012498408189967173,0.10350933074951171,0.0008246656589644558,entropy,10,5,1,5,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.21739130434782608,-0.30434782608695654,-0.21739130434782608,-0.2857142857142857,-0.23809523809523808,-0.2525879917184265,0.03595576537655058,6265,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
7,0.38228654861450195,0.03440381904550026,0.10354080200195312,0.0008003235573536756,entropy,10,5,1,5,250,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,5059,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
8,0.8267590045928955,0.09060731578563666,0.12087545394897461,0.02090466320620366,entropy,10,5,1,5,500,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,5059,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
9,1.5872679710388184,0.10737098017080102,0.2049630641937256,0.001164025533773072,entropy,10,5,1,5,1000,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}",-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.23809523809523808,-0.23809523809523808,-0.25175983436853,0.011157096136900605,5059,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
10,0.11202259063720703,0.0012157624664917864,0.10555043220520019,0.001534487828996497,entropy,10,5,1,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}",-0.2608695652173913,-0.34782608695652173,-0.17391304347826086,-0.3333333333333333,-0.23809523809523808,-0.2708074534161491,0.06387289394118376,7069,-0.011363636363636364,-0.045454545454545456,-0.045454545454545456,-0.06666666666666667,-0.044444444444444446,-0.04267676767676768,0.017745896574134414
